Reference,Value,MPN,Manufacturer,Footprint,Group,Tolerance,Voltage rating,Power rating,Temperature,Status,Qualification,Datasheet,DNP,Purchasable design item,X mm,Y mm,Side
C101,100nF,C1005X7R1C104K050BC,TDK,Howard:C_0402_1005Metric__C101,Boot flash and JTAG,10%,16 V,TBD,-55 to +125 C; X7R,PROPOSED,Local flash bypass candidate; verify DC bias.,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X7R1C104K050BC,False,True,12.585,15.635,Bottom
C102,1uF,C1005X5R1V105K050BC,TDK,Howard:C_0402_1005Metric__C102,Boot flash and JTAG,10%,35 V,TBD,-55 to +85 C; X5R,PROPOSED,Local flash bulk candidate; verify DC bias and temperature.,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1V105K050BC,False,True,6.535,11.485,Bottom
Y1,Oscillator frequency / MPN TBD,TBD,TBD,Howard:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm__Y1,Clock and startup,TBD,TBD,TBD,TBD,RESERVATION_ONLY / ELECTRICAL REQUIREMENTS TBD,"Review component ratings, pin map and circuit function before release.",,False,True,30.0,2.8,Top
R120,TBD clock series resistor,TBD,TBD,Howard:R_0402_1005Metric__R120,Clock and startup,TBD,TBD,TBD,TBD,RESERVATION_ONLY / ELECTRICAL REQUIREMENTS TBD,"Review component ratings, pin map and circuit function before release.",,False,True,27.795,5.655,Top
R121,TBD oscillator control resistor,TBD,TBD,Howard:R_0402_1005Metric__R121,Clock and startup,TBD,TBD,TBD,TBD,RESERVATION_ONLY / ELECTRICAL REQUIREMENTS TBD,"Review component ratings, pin map and circuit function before release.",,False,True,34.955,1.295,Top
C120,TBD oscillator bypass,TBD,TBD,Howard:C_0603_1608Metric__C120,Clock and startup,TBD,TBD,TBD,TBD,RESERVATION_ONLY / ELECTRICAL REQUIREMENTS TBD,"Review component ratings, pin map and circuit function before release.",,False,True,30.005,5.455,Top
R130,0R / DNP,TBD,TBD,Howard:R_0402_1005Metric__R130,Bank voltage options,TBD,TBD,TBD,TBD,DNP voltage-option proposal; do not populate before bank/interface review,"Review component ratings, pin map and circuit function before release.",,True,True,29.955,4.695,Bottom
R131,0R / DNP,TBD,TBD,Howard:R_0402_1005Metric__R131,Bank voltage options,TBD,TBD,TBD,TBD,DNP voltage-option proposal; do not populate before bank/interface review,"Review component ratings, pin map and circuit function before release.",,True,True,29.955,1.295,Bottom
R132,0R / DNP,TBD,TBD,Howard:R_0402_1005Metric__R132,Bank voltage options,TBD,TBD,TBD,TBD,DNP voltage-option proposal; do not populate before bank/interface review,"Review component ratings, pin map and circuit function before release.",,True,True,27.755,1.795,Bottom
R133,0R / DNP,TBD,TBD,Howard:R_0402_1005Metric__R133,Bank voltage options,TBD,TBD,TBD,TBD,DNP voltage-option proposal; do not populate before bank/interface review,"Review component ratings, pin map and circuit function before release.",,True,True,32.055,4.695,Bottom
R134,0R / DNP,TBD,TBD,Howard:R_0402_1005Metric__R134,Bank voltage options,TBD,TBD,TBD,TBD,DNP voltage-option proposal; do not populate before bank/interface review,"Review component ratings, pin map and circuit function before release.",,True,True,32.055,1.295,Bottom
U4,ADP5052ACPZ-R7,ADP5052ACPZ-R7,TBD,Howard:ADP5052_CP48_13_DRAFT__U4,Power conversion,TBD,TBD,TBD,TBD,pin_map_verified_design_proposed; land pattern/paste/thermal-via geometry not released,"Review component ratings, pin map and circuit function before release.",https://www.analog.com/media/en/technical-documentation/data-sheets/ADP5052.PDF,False,True,22.0,23.4,Bottom
Q1,Si7232DN-T1-GE3 - ONE dual NFET package,Si7232DN-T1-GE3,TBD,Howard:Vishay_PowerPAK_1212-8_Dual__Q1,Power conversion,TBD,TBD,TBD,TBD,pin_map_verified_candidate,"Review component ratings, pin map and circuit function before release.",https://www.vishay.com/docs/68986/si7232dn.pdf,False,True,14.8,23.4,Bottom
L1,3.3 uH proposed,XAL6030-332MEC,TBD,Howard:L_Coilcraft_XAL6030-XXX__L1,Power conversion,TBD,TBD,TBD,TBD,calculated_inductance_candidate_mpn,"Review component ratings, pin map and circuit function before release.",https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xal/,False,True,27.75,30.37,Top
R301,2.49k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R301,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,21.955,18.695,Bottom
R302,10k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R302,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,26.695,26.855,Bottom
C301,100nF 16V X7R,TBD,TBD,Howard:C_0402_1005Metric__C301,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,11.435,24.685,Bottom
C305,10uF 25V X5R/X7R,TBD,TBD,Howard:C_1206_3216Metric__C305,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,21.425,26.475,Top
R309,TBD compensation R,TBD,TBD,Howard:R_0402_1005Metric__R309,Power conversion,TBD,TBD,TBD,TBD,TBD_NOT_RELEASED,"Review component ratings, pin map and circuit function before release.",,False,True,21.955,17.495,Bottom
C311,TBD compensation C,TBD,TBD,Howard:C_0402_1005Metric__C311,Power conversion,TBD,TBD,TBD,TBD,TBD_NOT_RELEASED,"Review component ratings, pin map and circuit function before release.",,False,True,30.885,31.635,Bottom
C315,DNP optional compensation pole C,TBD,TBD,Howard:C_0402_1005Metric__C315,Power conversion,TBD,TBD,TBD,TBD,OPTIONAL_TBD,"Review component ratings, pin map and circuit function before release.",,True,True,12.885,29.635,Top
L2,4.7 uH proposed,XAL6060-472MEC,TBD,Howard:L_Coilcraft_XAL6060-XXX__L2,Power conversion,TBD,TBD,TBD,TBD,calculated_inductance_candidate_mpn,"Review component ratings, pin map and circuit function before release.",https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xal/,False,True,26.7,15.0,Bottom
R303,12.7k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R303,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,24.855,25.795,Top
R304,10.2k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R304,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,27.795,26.855,Bottom
C302,100nF 16V X7R,TBD,TBD,Howard:C_0402_1005Metric__C302,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,34.585,23.435,Bottom
C306,10uF 25V X5R/X7R,TBD,TBD,Howard:C_1206_3216Metric__C306,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,15.425,20.175,Bottom
R310,TBD compensation R,TBD,TBD,Howard:R_0402_1005Metric__R310,Power conversion,TBD,TBD,TBD,TBD,TBD_NOT_RELEASED,"Review component ratings, pin map and circuit function before release.",,False,True,18.495,26.255,Top
C312,TBD compensation C,TBD,TBD,Howard:C_0402_1005Metric__C312,Power conversion,TBD,TBD,TBD,TBD,TBD_NOT_RELEASED,"Review component ratings, pin map and circuit function before release.",,False,True,16.535,34.785,Bottom
C316,DNP optional compensation pole C,TBD,TBD,Howard:C_0402_1005Metric__C316,Power conversion,TBD,TBD,TBD,TBD,OPTIONAL_TBD,"Review component ratings, pin map and circuit function before release.",,True,True,13.735,31.285,Top
L3,10 uH proposed,XAL4040-103MEC,TBD,Howard:L_Coilcraft_XAL4040-XXX__L3,Power conversion,TBD,TBD,TBD,TBD,calculated_inductance_candidate_mpn,"Review component ratings, pin map and circuit function before release.",https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xal/,False,True,17.0,31.7,Bottom
R305,8.87k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R305,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,21.955,16.295,Bottom
R306,10.2k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R306,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,28.895,26.855,Bottom
C303,100nF 16V X7R,TBD,TBD,Howard:C_0402_1005Metric__C303,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,24.035,35.985,Bottom
C307,10uF 25V X5R/X7R,TBD,TBD,Howard:C_1206_3216Metric__C307,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,29.425,25.575,Top
R311,TBD compensation R,TBD,TBD,Howard:R_0402_1005Metric__R311,Power conversion,TBD,TBD,TBD,TBD,TBD_NOT_RELEASED,"Review component ratings, pin map and circuit function before release.",,False,True,21.955,15.195,Bottom
C313,TBD compensation C,TBD,TBD,Howard:C_0402_1005Metric__C313,Power conversion,TBD,TBD,TBD,TBD,TBD_NOT_RELEASED,"Review component ratings, pin map and circuit function before release.",,False,True,16.935,33.885,Top
C317,DNP optional compensation pole C,TBD,TBD,Howard:C_0402_1005Metric__C317,Power conversion,TBD,TBD,TBD,TBD,OPTIONAL_TBD,"Review component ratings, pin map and circuit function before release.",,True,True,11.685,31.135,Bottom
L4,22 uH proposed,XAL6060-223MEC,TBD,Howard:L_Coilcraft_XAL6060-XXX__L4,Power conversion,TBD,TBD,TBD,TBD,calculated_inductance_candidate_mpn,"Review component ratings, pin map and circuit function before release.",https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xal/,False,True,26.7,31.7,Bottom
R307,31.6k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R307,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,21.955,14.095,Bottom
R308,10.2k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R308,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,13.895,29.755,Bottom
C304,100nF 16V X7R,TBD,TBD,Howard:C_0402_1005Metric__C304,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,18.635,35.885,Bottom
C308,10uF 25V X5R/X7R,TBD,TBD,Howard:C_1206_3216Metric__C308,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,11.775,27.725,Bottom
R312,TBD compensation R,TBD,TBD,Howard:R_0402_1005Metric__R312,Power conversion,TBD,TBD,TBD,TBD,TBD_NOT_RELEASED,"Review component ratings, pin map and circuit function before release.",,False,True,16.855,30.595,Top
C314,TBD compensation C,TBD,TBD,Howard:C_0402_1005Metric__C314,Power conversion,TBD,TBD,TBD,TBD,TBD_NOT_RELEASED,"Review component ratings, pin map and circuit function before release.",,False,True,31.985,31.635,Bottom
C318,DNP optional compensation pole C,TBD,TBD,Howard:C_0402_1005Metric__C318,Power conversion,TBD,TBD,TBD,TBD,OPTIONAL_TBD,"Review component ratings, pin map and circuit function before release.",,True,True,14.835,32.685,Top
C309,1uF 10V X5R/X7R,TBD,TBD,Howard:C_0402_1005Metric__C309,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,26.035,35.985,Bottom
C310,1uF 10V X5R/X7R,TBD,TBD,Howard:C_0402_1005Metric__C310,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,13.435,33.485,Bottom
R313,68.1k 0.1%,TBD,TBD,Howard:R_0402_1005Metric__R313,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,21.955,12.995,Bottom
R314,22k 1%,TBD,TBD,Howard:R_0402_1005Metric__R314,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,12.795,17.755,Bottom
R315,22k 1%,TBD,TBD,Howard:R_0402_1005Metric__R315,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,16.855,31.695,Top
R316,10k 1%,TBD,TBD,Howard:R_0402_1005Metric__R316,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,33.495,23.455,Bottom
R317,100k 1%,TBD,TBD,Howard:R_0402_1005Metric__R317,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,21.955,11.895,Bottom
R318,115k 1%,TBD,TBD,Howard:R_0402_1005Metric__R318,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,13.995,29.655,Top
R319,10k 1%,TBD,TBD,Howard:R_0402_1005Metric__R319,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,15.295,31.055,Top
R320,10k 1%,TBD,TBD,Howard:R_0402_1005Metric__R320,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,13.895,31.855,Bottom
R321,10k 1%,TBD,TBD,Howard:R_0402_1005Metric__R321,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,18.555,34.795,Bottom
R322,DNP soft-start top option,TBD,TBD,Howard:R_0402_1005Metric__R322,Power conversion,TBD,TBD,TBD,TBD,OPTIONAL_TBD,"Review component ratings, pin map and circuit function before release.",,True,True,32.395,25.355,Top
R323,0R - 8ms soft start,TBD,TBD,Howard:R_0402_1005Metric__R323,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,16.855,32.795,Top
R324,DNP soft-start top option,TBD,TBD,Howard:R_0402_1005Metric__R324,Power conversion,TBD,TBD,TBD,TBD,OPTIONAL_TBD,"Review component ratings, pin map and circuit function before release.",,True,True,12.795,31.155,Bottom
R325,0R - 8ms soft start,TBD,TBD,Howard:R_0402_1005Metric__R325,Power conversion,TBD,TBD,TBD,TBD,proposed,"Review component ratings, pin map and circuit function before release.",,False,True,33.955,25.095,Bottom
C319,100uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C319,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,27.825,23.425,Bottom
C320,100uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C320,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,21.325,29.925,Bottom
C321,47uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C321,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,15.425,27.025,Bottom
C322,47uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C322,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,16.225,27.625,Top
C323,47uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C323,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,31.225,23.425,Bottom
C324,22uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C324,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,32.025,18.625,Bottom
C325,22uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C325,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,32.025,28.225,Bottom
C326,22uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C326,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,21.325,34.725,Bottom
C327,22uF 6.3V local-output PROVISIONAL,TBD,TBD,Howard:C_1210_3225Metric__C327,Power conversion,TBD,TBD,TBD,TBD,PROVISIONAL_CAPACITANCE_LEDGER_REVIEW,"Review component ratings, pin map and circuit function before release.",,False,True,12.125,26.925,Top
U3,Recording RAM / exact part TBD,TBD,TBD,Howard:Micron_FBGA-96_8x14mm_Layout9x16_P0.8mm__U3,Recording memory reservation,TBD,TBD,TBD,TBD,RESERVATION_ONLY / ELECTRICAL REQUIREMENTS TBD,"Review component ratings, pin map and circuit function before release.",,False,True,33.0,16.2,Top
J1,Routing 80-contact / proxy,TBD,TBD,Howard:Hirose_DF40C-80DS-0.4V_2x40_P0.4mm__J1,Routing board reservation,TBD,TBD,TBD,TBD,RESERVATION_ONLY / ELECTRICAL REQUIREMENTS TBD,"Review component ratings, pin map and circuit function before release.",,False,True,10.65,8.3,Bottom
J2,Routing 80-contact / proxy,TBD,TBD,Howard:Hirose_DF40C-80DS-0.4V_2x40_P0.4mm__J2,Routing board reservation,TBD,TBD,TBD,TBD,RESERVATION_ONLY / ELECTRICAL REQUIREMENTS TBD,"Review component ratings, pin map and circuit function before release.",,False,True,31.350001,8.3,Bottom
J3,Micro-HDMI / custom-link pinout TBD,TBD,TBD,Howard:HDMI_Micro-D_Molex_46765-1xxx__J3,micro-HDMI reservation,TBD,TBD,TBD,TBD,RESERVATION_ONLY / ELECTRICAL REQUIREMENTS TBD,"Review component ratings, pin map and circuit function before release.",,False,True,39.6,29.8,Top
J5,DC INPUT / 12V proposal,TBD,TBD,Howard:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical__J5,Power input and test,TBD,TBD,TBD,TBD,"Connector/input proposal; exact connector MPN, current, polarity and external supply limits TBD","Review component ratings, pin map and circuit function before release.",,False,True,9.5,35.650001,Top
F1,FUSE / rating TBD,TBD,TBD,Howard:Fuse_1206_3216Metric__F1,Power input and test,TBD,TBD,TBD,TBD,Input-protection type/current/rating TBD; no reverse-polarity or surge design is implied,"Review component ratings, pin map and circuit function before release.",,False,True,9.300001,30.5,Top
C1,680uF,TBD,TBD,Howard:CP_EIA-7343-43_Kemet-X__C1,FPGA decoupling,TBD,TBD,TBD,TBD,UG483 capacitor ledger proposal; ratings/MPN/effective capacitance and placement review pending,"Review component ratings, pin map and circuit function before release.",https://docs.amd.com/v/u/en-US/ug483_7Series_PCB,False,True,20.500001,32.600001,Top
C2,4.7uF,C1005X5R1A475K050BC,TDK,Howard:C_0402_1005Metric__C2,FPGA decoupling,10%,10 V,TBD,-55 to +85 C; X5R,UG483 capacitor ledger proposal; ratings/MPN/effective capacitance and placement review pending,"Do not release until DC bias, temperature and FPGA PDN checks pass.",https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1A475K050BC,False,True,12.785,13.635,Bottom
C3,4.7uF,C1005X5R1A475K050BC,TDK,Howard:C_0402_1005Metric__C3,FPGA decoupling,10%,10 V,TBD,-55 to +85 C; X5R,UG483 capacitor ledger proposal; ratings/MPN/effective capacitance and placement review pending,"Do not release until DC bias, temperature and FPGA PDN checks pass.",https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1A475K050BC,False,True,12.335,11.485,Bottom
C4,4.7uF,C1005X5R1A475K050BC,TDK,Howard:C_0402_1005Metric__C4,FPGA decoupling,10%,10 V,TBD,-55 to +85 C; X5R,UG483 capacitor ledger proposal; ratings/MPN/effective capacitance and placement review pending,"Do not release until DC bias, temperature and FPGA PDN checks pass.",https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1A475K050BC,False,True,10.335,11.485,Bottom
C5,4.7uF,C1005X5R1A475K050BC,TDK,Howard:C_0402_1005Metric__C5,FPGA decoupling,10%,10 V,TBD,-55 to +85 C; X5R,UG483 capacitor ledger proposal; ratings/MPN/effective capacitance and placement review pending,"Do not release until DC bias, temperature and FPGA PDN checks pass.",https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1A475K050BC,False,True,4.535,11.485,Bottom
C6,4.7uF,C1005X5R1A475K050BC,TDK,Howard:C_0402_1005Metric__C6,FPGA decoupling,10%,10 V,TBD,-55 to +85 C; X5R,UG483 capacitor ledger proposal; ratings/MPN/effective capacitance and placement review pending,"Do not release until DC bias, temperature and FPGA PDN checks pass.",https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X5R1A475K050BC,False,True,19.835,3.385,Top
